"x"
"1" "UNINTEGRATED|g__Absiella.s__Absiella_dolichum"
"24260" "PWY0-1296: purine ribonucleosides degradation|g__Anaerostipes.s__Anaerostipes_hadrus"
"24261" "PWY0-1296: purine ribonucleosides degradation|g__Anaerotignum.s__Anaerotignum_lactatifermentans"
"24262" "PWY0-1296: purine ribonucleosides degradation|g__Anaerotruncus.s__Anaerotruncus_colihominis"
"24263" "PWY0-1296: purine ribonucleosides degradation|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390"
"24264" "PWY0-1296: purine ribonucleosides degradation|g__Atopobium.s__Atopobium_parvulum"
"24265" "PWY0-1296: purine ribonucleosides degradation|g__Atopobium.s__Atopobium_rimae"
"24266" "PWY0-1296: purine ribonucleosides degradation|g__Azospirillum.s__Azospirillum_sp_CAG_260"
"24267" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_coccoides"
"24268" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_hansenii"
"24269" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_hydrogenotrophica"
"24270" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_obeum"
"24271" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_producta"
"24272" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_sp"
"24273" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_sp_AF19_10LB"
"24274" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_sp_CAG_257"
"24275" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_sp_CAG_52"
"24276" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_sp_N6H1_15"
"24277" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Blautia_wexlerae"
"24278" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Ruminococcus_gnavus"
"24279" "PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Ruminococcus_torques"
"24280" "PWY0-1296: purine ribonucleosides degradation|g__Brachyspira.s__Brachyspira_sp_CAG_484"
"24281" "PWY0-1296: purine ribonucleosides degradation|g__Brachyspira.s__Brachyspira_sp_CAG_700"
"24282" "PWY0-1296: purine ribonucleosides degradation|g__Butyrivibrio.s__Butyrivibrio_crossotus"
"24283" "PWY0-1296: purine ribonucleosides degradation|g__Butyrivibrio.s__Butyrivibrio_sp_CAG_318"
"24284" "PWY0-1296: purine ribonucleosides degradation|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium"
"24285" "PWY0-1296: purine ribonucleosides degradation|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10"
"24286" "PWY0-1296: purine ribonucleosides degradation|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21"
"24287" "PWY0-1296: purine ribonucleosides degradation|g__Candidatus_Melainabacteria_unclassified.s__Candidatus_Melainabacteria_bacterium_35_41"
"24288" "PWY0-1296: purine ribonucleosides degradation|g__Candidatus_Stoquefichus.s__Candidatus_Stoquefichus_sp_KLE1796"
"24289" "PWY0-1296: purine ribonucleosides degradation|g__Catenibacterium.s__Catenibacterium_mitsuokai"
"24290" "PWY0-1296: purine ribonucleosides degradation|g__Citrobacter.s__Citrobacter_amalonaticus"
"24291" "PWY0-1296: purine ribonucleosides degradation|g__Citrobacter.s__Citrobacter_braakii"
"24292" "PWY0-1296: purine ribonucleosides degradation|g__Citrobacter.s__Citrobacter_freundii"
"24293" "PWY0-1296: purine ribonucleosides degradation|g__Citrobacter.s__Citrobacter_portucalensis"
"24294" "PWY0-1296: purine ribonucleosides degradation|g__Citrobacter.s__Citrobacter_youngae"
"24295" "PWY0-1296: purine ribonucleosides degradation|g__Clostridiales_unclassified.s__Bacteroides_pectinophilus"
"24296" "PWY0-1296: purine ribonucleosides degradation|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA"
"24297" "PWY0-1296: purine ribonucleosides degradation|g__Clostridiales_unclassified.s__Clostridiales_bacterium_CHKCI006"
"24298" "PWY0-1296: purine ribonucleosides degradation|g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615"
"24299" "PWY0-1296: purine ribonucleosides degradation|g__Clostridioides.s__Clostridioides_difficile"
"24300" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_butyricum"
"24301" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_celatum"
"24302" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_disporicum"
"24303" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_neonatale"
"24304" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_paraputrificum"
"24305" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_perfringens"
"24306" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_44_14"
"24307" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_7_2_43FAA"
"24308" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_AM22_11AC"
"24309" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_122"
"24310" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_138"
"24311" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_169"
"24312" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_221"
"24313" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_226"
"24314" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_230"
"24315" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_242"
"24316" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_245"
"24317" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_253"
"24318" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_299"
"24319" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_307"
"24320" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_349"
"24321" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_354"
"24322" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_411"
"24323" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_417"
"24324" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_448"
"24325" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_492"
"24326" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_510"
"24327" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_557"
"24328" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_571"
"24329" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_58"
"24330" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_628"
"24331" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_632"
"24332" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_75"
"24333" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_780"
"24334" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_CAG_813"
"24335" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_D5"
"24336" "PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_chh4_2"
"24337" "PWY0-1296: purine ribonucleosides degradation|g__Collinsella.s__Collinsella_intestinalis"
"24338" "PWY0-1296: purine ribonucleosides degradation|g__Collinsella.s__Collinsella_stercoris"
"24339" "PWY0-1296: purine ribonucleosides degradation|g__Coprobacillus.s__Coprobacillus_cateniformis"
"24340" "PWY0-1296: purine ribonucleosides degradation|g__Coprobacillus.s__Coprobacillus_sp_CAG_698"
"24341" "PWY0-1296: purine ribonucleosides degradation|g__Coprococcus.s__Coprococcus_catus"
"24342" "PWY0-1296: purine ribonucleosides degradation|g__Coprococcus.s__Coprococcus_comes"
"24343" "PWY0-1296: purine ribonucleosides degradation|g__Dielma.s__Dielma_fastidiosa"
"24344" "PWY0-1296: purine ribonucleosides degradation|g__Dorea.s__Dorea_formicigenerans"
"24345" "PWY0-1296: purine ribonucleosides degradation|g__Dorea.s__Dorea_longicatena"
"24346" "PWY0-1296: purine ribonucleosides degradation|g__Dorea.s__Dorea_sp_CAG_317"
"24347" "PWY0-1296: purine ribonucleosides degradation|g__Eisenbergiella.s__Eisenbergiella_massiliensis"
"24348" "PWY0-1296: purine ribonucleosides degradation|g__Eisenbergiella.s__Eisenbergiella_tayi"
"24349" "PWY0-1296: purine ribonucleosides degradation|g__Enorma.s__Enorma_massiliensis"
"24350" "PWY0-1296: purine ribonucleosides degradation|g__Enterobacter.s__Enterobacter_cloacae"
"24351" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_avium"
"24352" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_casseliflavus"
"24353" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_durans"
"24354" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_faecalis"
"24355" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_faecium"
"24356" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_gallinarum"
"24357" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_hirae"
"24358" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_pseudoavium"
"24359" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_saccharolyticus"
"24360" "PWY0-1296: purine ribonucleosides degradation|g__Enterococcus.s__Enterococcus_thailandicus"
"24361" "PWY0-1296: purine ribonucleosides degradation|g__Erysipelatoclostridium.s__Clostridium_innocuum"
"24362" "PWY0-1296: purine ribonucleosides degradation|g__Erysipelatoclostridium.s__Clostridium_spiroforme"
"24363" "PWY0-1296: purine ribonucleosides degradation|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum"
"24364" "PWY0-1296: purine ribonucleosides degradation|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53"
"24365" "PWY0-1296: purine ribonucleosides degradation|g__Escherichia.s__Escherichia_coli"
"24366" "PWY0-1296: purine ribonucleosides degradation|g__Escherichia.s__Escherichia_fergusonii"
"24367" "PWY0-1296: purine ribonucleosides degradation|g__Escherichia.s__Escherichia_marmotae"
"24368" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_eligens"
"24369" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_ramulus"
"24370" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_sp_CAG_115"
"24371" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_sp_CAG_161"
"24372" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_sp_CAG_251"
"24373" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_sp_CAG_274"
"24374" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_sp_CAG_38"
"24375" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_sp_CAG_786"
"24376" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_sp_CAG_841"
"24377" "PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_ventriosum"
"24378" "PWY0-1296: purine ribonucleosides degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii"
"24379" "PWY0-1296: purine ribonucleosides degradation|g__Faecalibacterium.s__Faecalibacterium_sp_CAG_74"
"24380" "PWY0-1296: purine ribonucleosides degradation|g__Faecalicatena.s__Faecalicatena_contorta"
"24381" "PWY0-1296: purine ribonucleosides degradation|g__Faecalicoccus.s__Faecalicoccus_pleomorphus"
"24382" "PWY0-1296: purine ribonucleosides degradation|g__Faecalitalea.s__Faecalitalea_cylindroides"
"24383" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AM10_47"
"24384" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_102"
"24385" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_110"
"24386" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124"
"24387" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_137"
"24388" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145"
"24389" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_170"
"24390" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_194"
"24391" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_238"
"24392" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_313"
"24393" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424"
"24394" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_475"
"24395" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_534"
"24396" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_552"
"24397" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313"
"24398" "PWY0-1296: purine ribonucleosides degradation|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95"
"24399" "PWY0-1296: purine ribonucleosides degradation|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans"
"24400" "PWY0-1296: purine ribonucleosides degradation|g__Fusobacterium.s__Fusobacterium_mortiferum"
"24401" "PWY0-1296: purine ribonucleosides degradation|g__Fusobacterium.s__Fusobacterium_sp_CAG_439"
"24402" "PWY0-1296: purine ribonucleosides degradation|g__Gemmiger.s__Gemmiger_formicilis"
"24403" "PWY0-1296: purine ribonucleosides degradation|g__Gemmiger.s__Gemmiger_sp_An87"
"24404" "PWY0-1296: purine ribonucleosides degradation|g__Hafnia.s__Hafnia_paralvei"
"24405" "PWY0-1296: purine ribonucleosides degradation|g__Holdemanella.s__Holdemanella_biformis"
"24406" "PWY0-1296: purine ribonucleosides degradation|g__Holdemania.s__Holdemania_filiformis"
"24407" "PWY0-1296: purine ribonucleosides degradation|g__Hungatella.s__Hungatella_effluvii"
"24408" "PWY0-1296: purine ribonucleosides degradation|g__Hungatella.s__Hungatella_hathewayi"
"24409" "PWY0-1296: purine ribonucleosides degradation|g__Intestinibacter.s__Intestinibacter_bartlettii"
"24410" "PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_aerogenes"
"24411" "PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_grimontii"
"24412" "PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_michiganensis"
"24413" "PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_oxytoca"
"24414" "PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_pneumoniae"
"24415" "PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_quasipneumoniae"
"24416" "PWY0-1296: purine ribonucleosides degradation|g__Klebsiella.s__Klebsiella_variicola"
"24417" "PWY0-1296: purine ribonucleosides degradation|g__Kluyvera.s__Kluyvera_ascorbata"
"24418" "PWY0-1296: purine ribonucleosides degradation|g__Kluyvera.s__Kluyvera_cryocrescens"
"24419" "PWY0-1296: purine ribonucleosides degradation|g__Kosakonia.s__Kosakonia_sacchari"
"24420" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoanaerobaculum.s__Lachnoanaerobaculum_saburreum"
"24421" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Clostridium_aldenense"
"24422" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Clostridium_asparagiforme"
"24423" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Clostridium_citroniae"
"24424" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Clostridium_clostridioforme"
"24425" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Clostridium_lavalense"
"24426" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Clostridium_saccharolyticum"
"24427" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Clostridium_scindens"
"24428" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Clostridium_symbiosum"
"24429" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Lachnoclostridium_sp_An118"
"24430" "PWY0-1296: purine ribonucleosides degradation|g__Lachnoclostridium.s__Lachnoclostridium_sp_An14"
"24431" "PWY0-1296: purine ribonucleosides degradation|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale"
"24432" "PWY0-1296: purine ribonucleosides degradation|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_2_1_46FAA"
"24433" "PWY0-1296: purine ribonucleosides degradation|g__Lactobacillus.s__Lactobacillus_casei_group"
"24434" "PWY0-1296: purine ribonucleosides degradation|g__Lactobacillus.s__Lactobacillus_fermentum"
"24435" "PWY0-1296: purine ribonucleosides degradation|g__Lactobacillus.s__Lactobacillus_rhamnosus"
"24436" "PWY0-1296: purine ribonucleosides degradation|g__Lactococcus.s__Lactococcus_lactis"
"24437" "PWY0-1296: purine ribonucleosides degradation|g__Lactococcus.s__Lactococcus_raffinolactis"
"24438" "PWY0-1296: purine ribonucleosides degradation|g__Lactonifactor.s__Lactonifactor_longoviformis"
"24439" "PWY0-1296: purine ribonucleosides degradation|g__Massiliomicrobiota.s__Massiliomicrobiota_timonensis"
"24440" "PWY0-1296: purine ribonucleosides degradation|g__Megamonas.s__Megamonas_funiformis"
"24441" "PWY0-1296: purine ribonucleosides degradation|g__Megamonas.s__Megamonas_hypermegale"
"24442" "PWY0-1296: purine ribonucleosides degradation|g__Megamonas.s__Megamonas_rupellensis"
"24443" "PWY0-1296: purine ribonucleosides degradation|g__Megasphaera.s__Megasphaera_elsdenii"
"24444" "PWY0-1296: purine ribonucleosides degradation|g__Megasphaera.s__Megasphaera_hexanoica"
"24445" "PWY0-1296: purine ribonucleosides degradation|g__Megasphaera.s__Megasphaera_micronuciformis"
"24446" "PWY0-1296: purine ribonucleosides degradation|g__Megasphaera.s__Megasphaera_sp_DISK_18"
"24447" "PWY0-1296: purine ribonucleosides degradation|g__Mitsuokella.s__Mitsuokella_jalaludinii"
"24448" "PWY0-1296: purine ribonucleosides degradation|g__Mitsuokella.s__Mitsuokella_multacida"
"24449" "PWY0-1296: purine ribonucleosides degradation|g__Morganella.s__Morganella_morganii"
"24450" "PWY0-1296: purine ribonucleosides degradation|g__Murimonas.s__Murimonas_intestini"
"24451" "PWY0-1296: purine ribonucleosides degradation|g__Pediococcus.s__Pediococcus_acidilactici"
"24452" "PWY0-1296: purine ribonucleosides degradation|g__Peptostreptococcus.s__Peptostreptococcus_anaerobius"
"24453" "PWY0-1296: purine ribonucleosides degradation|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495"
"24454" "PWY0-1296: purine ribonucleosides degradation|g__Proteus.s__Proteus_mirabilis"
"24455" "PWY0-1296: purine ribonucleosides degradation|g__Proteus.s__Proteus_penneri"
"24456" "PWY0-1296: purine ribonucleosides degradation|g__Raoultella.s__Raoultella_planticola"
"24457" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_faecis"
"24458" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_hominis"
"24459" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_intestinalis"
"24460" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_inulinivorans"
"24461" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_sp_CAG_100"
"24462" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_sp_CAG_182"
"24463" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_sp_CAG_197"
"24464" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_sp_CAG_380"
"24465" "PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_sp_CAG_471"
"24466" "PWY0-1296: purine ribonucleosides degradation|g__Ruminococcaceae_unclassified.s__Clostridium_leptum"
"24467" "PWY0-1296: purine ribonucleosides degradation|g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH"
"24468" "PWY0-1296: purine ribonucleosides degradation|g__Ruminococcus.s__Ruminococcus_sp_CAG_177"
"24469" "PWY0-1296: purine ribonucleosides degradation|g__Ruminococcus.s__Ruminococcus_sp_CAG_382"
"24470" "PWY0-1296: purine ribonucleosides degradation|g__Ruminococcus.s__Ruminococcus_sp_CAG_724"
"24471" "PWY0-1296: purine ribonucleosides degradation|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans"
"24472" "PWY0-1296: purine ribonucleosides degradation|g__Sellimonas.s__Sellimonas_intestinalis"
"24473" "PWY0-1296: purine ribonucleosides degradation|g__Staphylococcus.s__Staphylococcus_aureus"
"24474" "PWY0-1296: purine ribonucleosides degradation|g__Staphylococcus.s__Staphylococcus_epidermidis"
"24475" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_agalactiae"
"24476" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_australis"
"24477" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_cristatus"
"24478" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_equinus"
"24479" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_gallolyticus"
"24480" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_gordonii"
"24481" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_infantarius"
"24482" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_lutetiensis"
"24483" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_mitis"
"24484" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_oralis"
"24485" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_parasanguinis"
"24486" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_pasteurianus"
"24487" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_pneumoniae"
"24488" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_pseudopneumoniae"
"24489" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_salivarius"
"24490" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_sp_A12"
"24491" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_thermophilus"
"24492" "PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_vestibularis"
"24493" "PWY0-1296: purine ribonucleosides degradation|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74"
"24494" "PWY0-1296: purine ribonucleosides degradation|g__Terrisporobacter.s__Terrisporobacter_othiniensis"
"24495" "PWY0-1296: purine ribonucleosides degradation|g__Turicibacter.s__Turicibacter_sanguinis"
"24496" "PWY0-1296: purine ribonucleosides degradation|g__Tyzzerella.s__Tyzzerella_nexilis"
"24497" "PWY0-1296: purine ribonucleosides degradation|g__Veillonella.s__Veillonella_atypica"
"24498" "PWY0-1296: purine ribonucleosides degradation|g__Veillonella.s__Veillonella_seminalis"
"24499" "PWY0-1296: purine ribonucleosides degradation|g__Veillonella.s__Veillonella_sp_CAG_933"
"24500" "PWY0-1296: purine ribonucleosides degradation|unclassified"
"24501" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Acetobacter.s__Acetobacter_sp_CAG_977"
"24502" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Anaerocolumna.s__Anaerocolumna_aminovalerica"
"24503" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250"
"24504" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Anaerosporobacter.s__Anaerosporobacter_mobilis"
"24505" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Anaerotruncus.s__Anaerotruncus_colihominis"
"24506" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390"
"24507" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Atopobium.s__Atopobium_rimae"
"24508" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Azospirillum.s__Azospirillum_sp_CAG_260"
"24509" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Blautia_coccoides"
"24510" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Blautia_hydrogenotrophica"
"24511" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Blautia_obeum"
"24512" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Blautia_producta"
"24513" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Blautia_sp"
"24514" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Blautia_sp_AF19_10LB"
"24515" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Blautia_sp_CAG_257"
"24516" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Blautia_sp_N6H1_15"
"24517" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Ruminococcus_gnavus"
"24518" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Blautia.s__Ruminococcus_torques"
"24519" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Brachyspira.s__Brachyspira_sp_CAG_484"
"24520" "PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Brachyspira.s__Brachyspira_sp_CAG_700"
